Date	Annee	Mois	Jour	Qls	Qm3s
20010827	2001	8	27	143000	143
20010828	2001	8	28	144000	144
20010829	2001	8	29	139000	139
20010830	2001	8	30	144000	144
20010831	2001	8	31	144000	144
20010901	2001	9	1	148000	148
20010902	2001	9	2	148000	148
20010903	2001	9	3	149000	149
20010904	2001	9	4	156000	156
20010905	2001	9	5	158000	158
20010906	2001	9	6	161000	161
20010907	2001	9	7	153000	153
20010908	2001	9	8	154000	154
20010909	2001	9	9	160000	160
20010910	2001	9	10	158000	158
20010911	2001	9	11	147000	147
20010912	2001	9	12	154000	154
20010913	2001	9	13	154000	154
20010914	2001	9	14	158000	158
20010915	2001	9	15	164000	164
20010916	2001	9	16	163000	163
20010917	2001	9	17	162000	162
20010918	2001	9	18	185000	185
20010919	2001	9	19	185000	185
20010920	2001	9	20	221000	221
20010921	2001	9	21	290000	290
20010922	2001	9	22	283000	283
20010923	2001	9	23	272000	272
20010924	2001	9	24	243000	243
20010925	2001	9	25	231000	231
20010926	2001	9	26	238000	238
20010927	2001	9	27	250000	250
20010928	2001	9	28	243000	243
20010929	2001	9	29	232000	232
20010930	2001	9	30	214000	214
20011001	2001	10	1	232000	232
20011002	2001	10	2	223000	223
20011003	2001	10	3	240000	240
20011004	2001	10	4	283000	283
20011005	2001	10	5	296000	296
20011006	2001	10	6	280000	280
20011007	2001	10	7	281000	281
20011008	2001	10	8	276000	276
20011009	2001	10	9	269000	269
20011010	2001	10	10	246000	246
20011011	2001	10	11	225000	225
20011012	2001	10	12	234000	234
20011013	2001	10	13	225000	225
20011014	2001	10	14	240000	240
20011015	2001	10	15	243000	243
20011016	2001	10	16	251000	251
20011017	2001	10	17	221000	221
20011018	2001	10	18	225000	225
20011019	2001	10	19	221000	221
20011020	2001	10	20	234000	234
20011021	2001	10	21	321000	321
20011022	2001	10	22	359000	359
20011023	2001	10	23	355000	355
20011024	2001	10	24	358000	358
20011025	2001	10	25	320000	320
20011026	2001	10	26	290000	290
20011027	2001	10	27	288000	288
20011028	2001	10	28	278000	278
20011029	2001	10	29	273000	273
20011030	2001	10	30	245000	245
20011031	2001	10	31	248000	248
20011101	2001	11	1	246000	246
20011102	2001	11	2	241000	241
20011103	2001	11	3	230000	230
20011104	2001	11	4	218000	218
20011105	2001	11	5	220000	220
20011106	2001	11	6	229000	229
20011107	2001	11	7	222000	222
20011108	2001	11	8	228000	228
20011109	2001	11	9	252000	252
20011110	2001	11	10	258000	258
20011111	2001	11	11	252000	252
20011112	2001	11	12	253000	253
20011113	2001	11	13	277000	277
20011114	2001	11	14	256000	256
20011115	2001	11	15	254000	254
20011116	2001	11	16	211000	211
20011117	2001	11	17	229000	229
20011118	2001	11	18	234000	234
20011119	2001	11	19	218000	218
20011120	2001	11	20	216000	216
20011121	2001	11	21	203000	203
20011122	2001	11	22	199000	199
20011123	2001	11	23	188000	188
20011124	2001	11	24	181000	181
20011125	2001	11	25	190000	190
20011126	2001	11	26	199000	199
20011127	2001	11	27	199000	199
20011128	2001	11	28	223000	223
20011129	2001	11	29	237000	237
20011130	2001	11	30	314000	314
20011201	2001	12	1	448000	448
20011202	2001	12	2	535000	535
20011203	2001	12	3	550000	550
20011204	2001	12	4	453000	453
20011205	2001	12	5	415000	415
20011206	2001	12	6	417000	417
20011207	2001	12	7	403000	403
20011208	2001	12	8	385000	385
20011209	2001	12	9	393000	393
20011210	2001	12	10	388000	388
20011211	2001	12	11	369000	369
20011212	2001	12	12	374000	374
20011213	2001	12	13	348000	348
20011214	2001	12	14	314000	314
20011215	2001	12	15	287000	287
20011216	2001	12	16	266000	266
20011217	2001	12	17	252000	252
20011218	2001	12	18	223000	223
20011219	2001	12	19	223000	223
20011220	2001	12	20	221000	221
20011221	2001	12	21	203000	203
20011222	2001	12	22	213000	213
20011223	2001	12	23	214000	214
20011224	2001	12	24	205000	205
20011225	2001	12	25	204000	204
20011226	2001	12	26	212000	212
20011227	2001	12	27	205000	205
20011228	2001	12	28	212000	212
20011229	2001	12	29	282000	282
20011230	2001	12	30	522000	522
20011231	2001	12	31	729000	729
